Document URL,Company,Standard Metric Name,New standard metric?,Name in the text,Raw value,Scaled value,Scale/unit,Period,Definition,Quote/context,segment_type,is_definition_only,value_context,detection_difficulty,period_start,period_end,duplicate_group
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_ltv_to_cac_ratio,,2.4,2.4,2.4,%,,,2.4,text,,,hard,,,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_revenue_per_customer,,343,343,343.0,other,5-May-19,,343,table,,,medium,,2019-05-05,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_revenue_per_customer,,314,314,314.0,$,29-Apr-18,,314,table,,,medium,,2018-04-29,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_revenue_per_customer,,297,297,297.0,$,31-Dec-16,,297,table,,,medium,2016-01-01,2016-12-31,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_revenue_per_customer,,310,310,310.0,$,31-Dec-17,,310,table,,,medium,2017-01-01,2017-12-31,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_revenue_per_customer,,334,334,334.0,$,31-Dec-18,,334,table,,,medium,2018-01-01,2018-12-31,
https://www.sec.gov/Archives/edgar/data/1766502/000119312519170917/d665122ds1a.htm,"Chewy, Inc.",cm_customer_retention_rate,,66%,66%,66.0,%,FY2018,,"Autoship customer sales represented approximately 66% of our net sales in fiscal year 2018, demonstrating the strong customer retention of our platform",text,,,medium,,2019-02-03,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_net_revenue_retention,,146%,146%,146.0,%,30-Jun-18,,146%,text,,,medium,,2018-06-30,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_net_revenue_retention,,141%,141%,141.0,%,30-Jun-18,,141%,text,,,medium,,2018-06-30,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_net_revenue_retention,,151%,151%,151.0,%,30-Jun-18,,151%,text,,,medium,,2018-06-30,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_net_revenue_retention,,146%,146%,146.0,%,30-Jun-18,,146%,text,,,medium,,2018-06-30,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_net_revenue_retention,,141%,141%,141.0,%,30-Jun-18,,141%,text,,,medium,,2018-06-30,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_net_revenue_retention,,151%,151%,151.0,%,30-Jun-18,,151%,text,,,medium,,2018-06-30,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_gross_revenue_retention,,90%,90%,90.0,%,,,90%,text,,,hard,,,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_arr,,"$200,000","$200,000",200000.0,$,30-Jun-19,,"$200,000",text,,,medium,,2019-06-30,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_revenue_by_cohort,,$4.8 million,$4.8 million,4800000,$,31-Dec-14,,$4.8 million,text,,,medium,,2014-12-31,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_revenue_by_cohort,,$19.2 million,$19.2 million,19200000,$,31-Dec-14,,$19.2 million,text,,,medium,,2014-12-31,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_revenue_concentration,,14%,14%,14.0,%,30-Jun-19,,14%,text,,,medium,,2019-06-30,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_revenue_concentration,,5%,5%,5.0,%,30-Jun-19,,5%,text,,,medium,,2019-06-30,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_revenue_by_cohort,,60%,60%,60.0,%,30-Jun-19,,60%,text,,,medium,2019-01-01,2019-06-30,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_revenue_by_cohort,,60%,60%,60.0,%,31-Dec-18,,60%,text,,,medium,2018-01-01,2018-12-31,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_customers_period_end,,"8,800","8,800",8800.0,count,30-Jun-19,,"8,800",text,,,medium,,2019-06-30,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_customers_period_end,,"7,700","7,700",7700.0,count,31-Dec-18,,"approximately 8,800 customers, increasing from approximately 7,700, 5,400 and 3,800 customers as of December 31, 2018, 2017 and 2016",text,,,medium,,2018-12-31,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_customers_period_end,,"5,400","5,400",5400.0,count,31-Dec-17,,"approximately 8,800 customers, increasing from approximately 7,700, 5,400 and 3,800 customers as of December 31, 2018, 2017 and 2016",text,,,medium,,2017-12-31,
https://www.sec.gov/Archives/edgar/data/1561550/000119312519246194/d745413ds1a.htm,"Datadog, Inc.",cm_customers_period_end,,"3,800","3,800",3800.0,count,31-Dec-16,,"approximately 8,800 customers, increasing from approximately 7,700, 5,400 and 3,800 customers as of December 31, 2018, 2017 and 2016",text,,,medium,,2016-12-31,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_average_order_value,,,$586.8,586.8,$,2015-01-01 to 2015-12-31,,<mark>$586.8</mark>,table,,,,2015-01-01,2015-12-31,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_average_order_value,,,$622.1,622.1,$,2018-01-01 to 2018-06-30,,<mark>$622.1</mark>,table,,,,2018-01-01,2018-06-30,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_average_order_value,,,$583.6,583.6,$,2016-01-01 to 2016-12-31,,<mark>$583.6</mark>,table,,,,2016-01-01,2016-12-31,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_average_order_value,,,$591.7,591.7,$,2017-01-01 to 2017-06-30,,<mark>$591.7</mark>,table,,,,2017-01-01,2017-06-30,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_average_order_value,,,$620.0,620,$,2017-01-01 to 2017-12-31,,<mark>$620.0</mark>,table,,,,2017-01-01,2017-12-31,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_ltv_to_cac_ratio,,,1.53,1.53,%,2015-12-31,,<mark>1.53</mark>,table,,,,2015-12-31,2015-12-31,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_ltv_to_cac_ratio,,,1.42,1.42,%,2015-12-31,,<mark>1.42</mark>,table,,,,2015-12-31,2015-12-31,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_ltv_to_cac_ratio,,,1.77,1.77,%,2015-12-31,,<mark>1.77</mark>,table,,,,2015-12-31,2015-12-31,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_ltv_to_cac_ratio_by_cohort,,,1.42,1.42,%,2015-12-31,,<mark>1.42</mark>,table,,,,2015-12-31,2015-12-31,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_ltv_to_cac_ratio_by_cohort,,,1.53,1.53,%,2015-12-31,,<mark>1.53</mark>,table,,,,2015-12-31,2015-12-31,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_ltv_to_cac_ratio_by_cohort,,,1.77,1.77,%,2015-12-31,,<mark>1.77</mark>,table,,,,2015-12-31,2015-12-31,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_active_customers_total,,,"796,297",796297,count,2018-06-30,,"<mark>796,297</mark>",text,,,,2018-06-30,2018-06-30,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_active_customers_total,,,"651,674",651674,count,2017-12-31,,"<mark>651,674</mark>",text,,,,2017-12-31,2017-12-31,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_purchase_transactions_overall,,,"853,195",853195,count,2018-01-01 to 2018-06-30,,"<mark>853,195</mark>",text,,,,2018-01-01,2018-06-30,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_purchase_transactions_overall,,,1.3 million,1300000,count,2017-01-01 to 2017-12-31,,<mark>1.3 million</mark>,text,,,,2017-01-01,2017-12-31,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_ltv_to_cac_ratio_by_cohort,,,2.71 x,2.71,other,,,<mark>2.71 x</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_ltv_to_cac_ratio_by_cohort,,,1.81 x,1.81,other,,,<mark>1.81 x</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_gross_margin_by_cohort,,,23%,23,other,,,<mark>23%</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_gross_margin_by_cohort,,,33%,33,other,,,<mark>33%</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_gross_margin_by_cohort,,,44%,44,other,,,<mark>44%</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_gross_margin_by_cohort,,,36%,36,other,,,<mark>36%</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_gross_margin_by_cohort,,,46%,46,other,,,<mark>46%</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_ltv_to_cac_ratio_by_cohort,,,1.53 x,1.53,other,,,<mark>1.53 x</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_gross_margin_by_cohort,,,31%,31,other,,,<mark>31%</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_ltv_to_cac_ratio_by_cohort,,,1.77 x,1.77,other,,,<mark>1.77 x</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_gross_margin_by_cohort,,,45%,45,other,,,<mark>45%</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_ltv_to_cac_ratio_by_cohort,,,1.42 x,1.42,other,,,<mark>1.42 x</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_ltv_to_cac_ratio_by_cohort,,,2.04 x,2.04,other,,,<mark>2.04 x</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_gross_margin_by_cohort,,,54%,54,other,,,<mark>54%</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_gross_margin_by_cohort,,,26%,26,other,,,<mark>26%</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_revenue_by_cohort,,,44.4% New Consumers in 2017,44.4,%,,,<mark>44.4% New Consumers in 2017</mark>,chart,,,,,,
https://www.sec.gov/Archives/edgar/data/1740915/000119312518267302/,Farfetch Limited,cm_revenue_by_cohort,,,55.6% Existing Consumers in 2017,55.6,%,,,<mark>55.6% Existing Consumers in 2017</mark>,chart,,,,,,
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,cm_new_customers_acquired,,new consumers,,,,,those who placed their first order on our Marketplace,We define new consumers as those who placed their first order on our Marketplace. ,,x,,,,,
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,Not a customer metric,,Active Consumers growth, 57 , 0.57 ,percent,2016,,"<p style=""margin-top:12pt; margin-bottom:0pt; text-indent:5%; font-size:10pt; font-family:ARIAL"">As of June 30, 2018, we had 1,118,047 Active Consumers, up from 796,297 as of June 30, 2017. As of December&nbsp;31, 2017, we
had 935,772 Active Consumers, up from 651,674 as of December&nbsp;31, 2016. The Number of Orders for the six months ended June 30, 2018 was 1,305,297, up from 853,195 for six months ended June 30, 2017. The Number of Orders for the year ended
December&nbsp;31, 2017 was 1.9&nbsp;million, up from 1.3&nbsp;million for the year ended December&nbsp;31, 2016. The figures below represent the growth of Active Consumers and Number of Orders for the years ended December&nbsp;31, 2015, 2016 and
2017. </p><p style=""margin-top:0pt;margin-bottom:0pt ; font-size:8pt"">&nbsp;</p><p style=""margin-top:0pt; margin-bottom:0pt; font-size:10pt; font-family:ARIAL"" align=""center"">73 </p><p style=""page-break-before:always"">
</p><hr size=""3"" style=""COLOR:#999999"" width=""100%"" align=""CENTER""><h5 align=""left""><a href=""#toc"">Table of Contents</a></h5><p style=""font-size:0pt;margin-top:0pt;margin-bottom:0pt"">&nbsp;</p><table cellspacing=""0"" cellpadding=""0"" width=""100%"" border=""0"" style=""BORDER-COLLAPSE:COLLAPSE; font-family:ARIAL; font-size:10pt"" align=""center"">


<tbody><tr>
<td width=""100%""></td></tr>


<tr style=""page-break-inside:avoid ; font-family:ARIAL; font-size:5pt"">
<td valign=""bottom""> <p style=""margin-top:0pt;margin-bottom:0pt"" align=""center"">


<img src=""g607688g76p55.jpg"" alt=""LOGO"">
</p> <p style=""margin-top:0pt; margin-bottom:1pt; text-indent:4.80em; font-size:5pt; font-family:ARIAL"" align=""left"">Note: Number of orders net of cancellations.</p></td></tr>
</tbody></table>",,,,,,,G018:primary
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,Not a customer metric,,Active Consumers growth, 44 , 0.44 ,percent,2017,,"<p style=""margin-top:12pt; margin-bottom:0pt; text-indent:5%; font-size:10pt; font-family:ARIAL"">As of June 30, 2018, we had 1,118,047 Active Consumers, up from 796,297 as of June 30, 2017. As of December&nbsp;31, 2017, we
had 935,772 Active Consumers, up from 651,674 as of December&nbsp;31, 2016. The Number of Orders for the six months ended June 30, 2018 was 1,305,297, up from 853,195 for six months ended June 30, 2017. The Number of Orders for the year ended
December&nbsp;31, 2017 was 1.9&nbsp;million, up from 1.3&nbsp;million for the year ended December&nbsp;31, 2016. The figures below represent the growth of Active Consumers and Number of Orders for the years ended December&nbsp;31, 2015, 2016 and
2017. </p><p style=""margin-top:0pt;margin-bottom:0pt ; font-size:8pt"">&nbsp;</p><p style=""margin-top:0pt; margin-bottom:0pt; font-size:10pt; font-family:ARIAL"" align=""center"">73 </p><p style=""page-break-before:always"">
</p><hr size=""3"" style=""COLOR:#999999"" width=""100%"" align=""CENTER""><h5 align=""left""><a href=""#toc"">Table of Contents</a></h5><p style=""font-size:0pt;margin-top:0pt;margin-bottom:0pt"">&nbsp;</p><table cellspacing=""0"" cellpadding=""0"" width=""100%"" border=""0"" style=""BORDER-COLLAPSE:COLLAPSE; font-family:ARIAL; font-size:10pt"" align=""center"">


<tbody><tr>
<td width=""100%""></td></tr>


<tr style=""page-break-inside:avoid ; font-family:ARIAL; font-size:5pt"">
<td valign=""bottom""> <p style=""margin-top:0pt;margin-bottom:0pt"" align=""center"">


<img src=""g607688g76p55.jpg"" alt=""LOGO"">
</p> <p style=""margin-top:0pt; margin-bottom:1pt; text-indent:4.80em; font-size:5pt; font-family:ARIAL"" align=""left"">Note: Number of orders net of cancellations.</p></td></tr>
</tbody></table>",,,,,,,G019:primary
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,Not a customer metric,,Number of Orders growth, 57 , 0.57 ,percent,2016,,"<p style=""margin-top:12pt; margin-bottom:0pt; text-indent:5%; font-size:10pt; font-family:ARIAL"">As of June 30, 2018, we had 1,118,047 Active Consumers, up from 796,297 as of June 30, 2017. As of December&nbsp;31, 2017, we
had 935,772 Active Consumers, up from 651,674 as of December&nbsp;31, 2016. The Number of Orders for the six months ended June 30, 2018 was 1,305,297, up from 853,195 for six months ended June 30, 2017. The Number of Orders for the year ended
December&nbsp;31, 2017 was 1.9&nbsp;million, up from 1.3&nbsp;million for the year ended December&nbsp;31, 2016. The figures below represent the growth of Active Consumers and Number of Orders for the years ended December&nbsp;31, 2015, 2016 and
2017. </p><p style=""margin-top:0pt;margin-bottom:0pt ; font-size:8pt"">&nbsp;</p><p style=""margin-top:0pt; margin-bottom:0pt; font-size:10pt; font-family:ARIAL"" align=""center"">73 </p><p style=""page-break-before:always"">
</p><hr size=""3"" style=""COLOR:#999999"" width=""100%"" align=""CENTER""><h5 align=""left""><a href=""#toc"">Table of Contents</a></h5><p style=""font-size:0pt;margin-top:0pt;margin-bottom:0pt"">&nbsp;</p><table cellspacing=""0"" cellpadding=""0"" width=""100%"" border=""0"" style=""BORDER-COLLAPSE:COLLAPSE; font-family:ARIAL; font-size:10pt"" align=""center"">


<tbody><tr>
<td width=""100%""></td></tr>


<tr style=""page-break-inside:avoid ; font-family:ARIAL; font-size:5pt"">
<td valign=""bottom""> <p style=""margin-top:0pt;margin-bottom:0pt"" align=""center"">


<img src=""g607688g76p55.jpg"" alt=""LOGO"">
</p> <p style=""margin-top:0pt; margin-bottom:1pt; text-indent:4.80em; font-size:5pt; font-family:ARIAL"" align=""left"">Note: Number of orders net of cancellations.</p></td></tr>
</tbody></table>",,,,,,,G018:dup
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,Not a customer metric,,Number of Orders growth, 49 , 0.49 ,percent,2017,,"<p style=""margin-top:12pt; margin-bottom:0pt; text-indent:5%; font-size:10pt; font-family:ARIAL"">As of June 30, 2018, we had 1,118,047 Active Consumers, up from 796,297 as of June 30, 2017. As of December&nbsp;31, 2017, we
had 935,772 Active Consumers, up from 651,674 as of December&nbsp;31, 2016. The Number of Orders for the six months ended June 30, 2018 was 1,305,297, up from 853,195 for six months ended June 30, 2017. The Number of Orders for the year ended
December&nbsp;31, 2017 was 1.9&nbsp;million, up from 1.3&nbsp;million for the year ended December&nbsp;31, 2016. The figures below represent the growth of Active Consumers and Number of Orders for the years ended December&nbsp;31, 2015, 2016 and
2017. </p><p style=""margin-top:0pt;margin-bottom:0pt ; font-size:8pt"">&nbsp;</p><p style=""margin-top:0pt; margin-bottom:0pt; font-size:10pt; font-family:ARIAL"" align=""center"">73 </p><p style=""page-break-before:always"">
</p><hr size=""3"" style=""COLOR:#999999"" width=""100%"" align=""CENTER""><h5 align=""left""><a href=""#toc"">Table of Contents</a></h5><p style=""font-size:0pt;margin-top:0pt;margin-bottom:0pt"">&nbsp;</p><table cellspacing=""0"" cellpadding=""0"" width=""100%"" border=""0"" style=""BORDER-COLLAPSE:COLLAPSE; font-family:ARIAL; font-size:10pt"" align=""center"">


<tbody><tr>
<td width=""100%""></td></tr>


<tr style=""page-break-inside:avoid ; font-family:ARIAL; font-size:5pt"">
<td valign=""bottom""> <p style=""margin-top:0pt;margin-bottom:0pt"" align=""center"">


<img src=""g607688g76p55.jpg"" alt=""LOGO"">
</p> <p style=""margin-top:0pt; margin-bottom:1pt; text-indent:4.80em; font-size:5pt; font-family:ARIAL"" align=""left"">Note: Number of orders net of cancellations.</p></td></tr>
</tbody></table>",,,,,,,
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,cm_customer_acquisition_cost,,Consumer Acquisition Cost,,,,,demand generation expense attributable only to new consumer acquisition during a specific time period divided by the number of new consumers acquired during the same period.,"•	 	
CAC means demand generation expense attributable only to new consumer acquisition during a specific time period divided by the number of new consumers acquired during the same period.
",,x,,,,,
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,cm_lifetime_value_per_customer,,Lifetime Value of a Customer,,,,,"LTV means cumulative Platform Order Contribution, calculated as gross profit less demand generation expense, excluding demand generation expense attributable to any new consumer acquisition, over a period of time attributable to a particular consumer cohort since the acquisition of those consumers divided by the number of consumers acquired during the cohort period. Each consumer cohort is defined as consumers who have been acquired during a specific period."," 	•	 	
LTV means cumulative Platform Order Contribution, calculated as gross profit less demand generation expense, excluding demand generation expense attributable to any new consumer acquisition, over a period of time attributable to a particular consumer cohort since the acquisition of those consumers divided by the number of consumers acquired during the cohort period. Each consumer cohort is defined as consumers who have been acquired during a specific period.",,x,,,,,
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,Not a customer metric,,Platform Oerder Contribution Margin,,,,,Platform Order Contribution as a percentage of Adjusted Platform Revenue during a particular financial period.," 	•	 	
Platform Order Contribution Margin means Platform Order Contribution as a percentage of Adjusted Platform Revenue during a particular financial period.",,x,,,,,
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,Not a customer metric,,Platform Oerder Contribution Margin, 33 , 0.33 ,percent,12/31/15,,"Platform Order Contribution Margin for the years ended December 31, 2015, 2016 and 2017 was 33.0%, 35.0% and 43.0%, respectively.

 ",,,,,,,
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,Not a customer metric,,Platform Oerder Contribution Margin, 35 , 0.35 ,percent,12/31/16,,"Platform Order Contribution Margin for the years ended December 31, 2015, 2016 and 2017 was 33.0%, 35.0% and 43.0%, respectively.

 ",,,,,,,
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,Not a customer metric,,Platform Oerder Contribution Margin, 43 , 0.43 ,percent,12/31/17,,"Platform Order Contribution Margin for the years ended December 31, 2015, 2016 and 2017 was 33.0%, 35.0% and 43.0%, respectively.

 ",,,,,,,
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,cm_cac_payback_period,,payback period on CAC, 6 , 6 ,months,,,"Across each of these cohorts, the payback period on CAC has been consistently less than six months",,,,,,,
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,Not a customer metric,,Order Contribution Margin, 54 ,54%,percent,2015,,"The chart below illustrates the Order Contribution Margin attributable to our new and existing consumers along with their overall Order Contribution Margin on the Farfetch Marketplace in each of the years ended December 31, 2015, 2016 and 2017. As we have increased the proportion of our business derived from existing consumers, driven by higher retention rates and order frequency, we have also seen a corresponding increase in our blended Order Contribution Margin attributable to our Marketplace over time, driving the overall Platform Order Contribution Margin.

 <p style=""margin-top:0pt; margin-bottom:0pt; font-size:10pt; font-family:ARIAL"" align=""center""><b><u>Marketplace Order Contribution Margin (% Adjusted Marketplace Revenue)</u> </b></p><p style=""font-size:12pt;margin-top:0pt;margin-bottom:0pt"">&nbsp;</p><p style=""font-size:0pt;margin-top:0pt;margin-bottom:0pt"">&nbsp;</p><p style=""margin-top:0pt;margin-bottom:0pt"" align=""center"">


<img src=""g607688g09d00.jpg"" alt=""LOGO"">
 </p>",,,,,,,
http://edgar.secdatabase.com/1091/119312518267302/filing-main.htm,Farfetch Limited,Not a customer metric,,Order Contribution Margin, 36 ,36%,percent,2016,,"The chart below illustrates the Order Contribution Margin attributable to our new and existing consumers along with their overall Order Contribution Margin on the Farfetch Marketplace in each of the years ended December 31, 2015, 2016 and 2017. As we have increased the proportion of our business derived from existing consumers, driven by higher retention rates and order frequency, we have also seen a corresponding increase in our blended Order Contribution Margin attributable to our Marketplace over time, driving the overall Platform Order Contribution Margin.

 <p style=""margin-top:0pt; margin-bottom:0pt; font-size:10pt; font-family:ARIAL"" align=""center""><b><u>Marketplace Order Contribution Margin (% Adjusted Marketplace Revenue)</u> </b></p><p style=""font-size:12pt;margin-top:0pt;margin-bottom:0pt"">&nbsp;</p><p style=""font-size:0pt;margin-top:0pt;margin-bottom:0pt"">&nbsp;</p><p style=""margin-top:0pt;margin-bottom:0pt"" align=""center"">


<img src=""g607688g09d00.jpg"" alt=""LOGO"">
 </p>",,,,,,,
