company,ticker,date,metric_id,value,unit,period,source_type,raw_text,v2_likely
T-Mobile US,TMUS,2025-04-24,cm_new_customers_acquired,424000,count,Q1 2025,text,"we led the entire broadband industry in customer growth with 424,000 net additions.",maybe
T-Mobile US,TMUS,2025-04-24,cm_revenue_per_customer,,percent,Q1 2025,text,"postpaid ARPA growth of nearly 4%, our highest Q1 in eight years.",yes
T-Mobile US,TMUS,2025-04-24,cm_revenue_per_customer,,percent,FY2025E,text,we now expect postpaid phone ARPU to grow at 1.5% this year,yes
T-Mobile US,TMUS,2025-04-24,cm_revenue_per_customer,,percent,FY2025E,text,We are also increasing our postpaid ARPA growth expectations to be at least 3.5% for the full year,yes
T-Mobile US,TMUS,2025-04-24,cm_customers_period_end,25500000,count,Q1 2025,text,We are serving nearly 25.5 million prepaid customers now,yes
T-Mobile US,TMUS,2025-04-24,cm_new_customers_acquired,50000,count,Q1 2025,text,"This particular quarter that we just finished nearly 50,000 prepaid net adds",maybe
T-Mobile US,TMUS,2025-04-24,cm_customer_churn_rate,,percent,Q1 2025,text,churn that is actually reduced also on a year-over-year basis by seven basis points,yes
T-Mobile US,TMUS,2025-04-24,cm_customer_churn_rate,,percent,Q1 2025,text,our lowest 5G broadband churn ever,yes
T-Mobile US,TMUS,2025-04-24,cm_new_customers_acquired,5500000,count,FY2025E,text,we continue to expect to deliver total postpaid net customer additions of between 5.5 and 6 million,maybe
T-Mobile US,TMUS,2025-04-24,cm_active_customers_total,,count,Q1 2025,text,T Satellite now with hundreds of thousands of active users,yes
T-Mobile US,TMUS,2025-04-24,cm_new_customers_acquired,350000,count,LTM,text,"350,000 prepaid net adds over the last four quarters",maybe
T-Mobile US,TMUS,2025-04-24,cm_revenue_per_customer,,percent,Q1 2025,text,we saw our highest ever Q1 ARPU growth in broadband,yes
PayPal,PYPL,2025-04-29,cm_active_customers_total,436000000,count,Q1 2025,text,total active accounts increased by about 1.5 million from the fourth quarter and over 8 million versus the prior year to 436 million.,yes
PayPal,PYPL,2025-04-29,cm_monthly_active_users,224000000,count,Q1 2025,text,Monthly active accounts continue to show steady progress up 2% year-over-year to 224 million,yes
PayPal,PYPL,2025-04-29,cm_expansion_revenue,,ratio,Q1 2025,text,Transactions per active account excluding PSP processing grew 4%.,maybe
PayPal,PYPL,2025-04-29,cm_new_customers_acquired,2000000,count,Q1 2025,text,approximately 2 million first-time PayPal and Venmo debit card users in the quarter an increase of nearly 90% from last year.,maybe
PayPal,PYPL,2025-04-29,cm_monthly_active_users,,percent,Q1 2025,text,BNPL volume grew more than 20% and monthly active accounts grew 18% year-over-year,yes
PayPal,PYPL,2025-04-29,cm_monthly_active_users,,percent,Q1 2025,text,Pay with Venmo TPV grew more than 50% and MAAs grew 30%,yes
PayPal,PYPL,2025-04-29,cm_monthly_active_users,,percent,Q1 2025,text,Venmo debit card monthly active accounts grew nearly 40%,yes
PayPal,PYPL,2025-04-29,cm_revenue_per_customer,,ratio,Q1 2025,text,users who adopted the PayPal debit card transacted nearly six times more and generated more than two times the average revenue per account,yes
PayPal,PYPL,2025-04-29,cm_revenue_per_customer,,ratio,Q1 2025,text,BNPL users spend 33% more on average and conduct 17% more transactions,yes
PayPal,PYPL,2025-04-29,cm_revenue_per_customer,,ratio,Q1 2025,text,debit card users have a 5.5% to 6% lift in transaction activity and over 2x increase in average revenue per active user,yes
PayPal,PYPL,2025-04-29,cm_new_customers_acquired,4000000,count,since Aug 2024,text,4 million new debit card actives since PayPal Everywhere launch,maybe
PayPal,PYPL,2025-04-29,cm_monthly_active_users,,percent,Q1 2025,text,we are growing monthly active accounts mid-single digits for Venmo,yes
PayPal,PYPL,2025-04-29,cm_expansion_revenue,0.10,percent,Q1 2025,text,10% of the new cohort of users are now adopting the debit card,maybe
Adobe,ADBE,2025-03-12,cm_arr,17630000000,currency,Q1 FY2025,text,We exited the quarter with $17.63 billion of Digital Media ARR growing our ending ARR book of business 12.6% year-over-year.,yes
Adobe,ADBE,2025-03-12,cm_arr,125000000,currency,Q1 FY2025,text,AI-first standalone and add-on products which have already contributed greater than $125 million book of business exiting Q1 fiscal 2025,yes
Adobe,ADBE,2025-03-12,cm_arr,1000000000,currency,Q1 FY2025,text,GenStudio solution surpassing $1B in ending ARR book of business.,yes
Adobe,ADBE,2025-03-12,cm_monthly_active_users,,percent,Q1 FY2025,text,Acrobat and Reader monthly active usage growing 23% year-over-year,yes
Adobe,ADBE,2025-03-12,cm_monthly_active_users,0.35,percent,Q1 FY2025,text,Photoshop GenAI monthly active users at approximately 35%,yes
Adobe,ADBE,2025-03-12,cm_monthly_active_users,0.30,percent,Q1 FY2025,text,Lightroom GenAI MAU at 30%,yes
Adobe,ADBE,2025-03-12,cm_monthly_active_users,,percent,Q1 FY2025,text,approximately 50% year-over-year growth in Acrobat web monthly active usage,yes
Adobe,ADBE,2025-03-12,cm_new_customers_acquired,6000,count,Q1 FY2025,text,"Express onboarded nearly 6,000 new businesses in Q1 representing approximately 50% quarter-over-quarter growth.",yes
Adobe,ADBE,2025-03-12,cm_customers_period_end,1400,count,since launch,text,"over 1,400 custom models since launch for Firefly Services",maybe
Adobe,ADBE,2025-03-12,cm_net_revenue_retention,,percent,Q1 FY2025,text,improvements in overall enterprise retention,yes
Adobe,ADBE,2025-03-12,cm_customers_period_end,,percent,Q1 FY2025,text,Creative Web and Mobile offerings with 35% year-over-year ending paid subscription growth,maybe
GoDaddy,GDDY,2025-05-01,cm_arr,4100000000,currency,Q1 2025,text,Annual recurring revenue grew 7% to $4.1 billion.,yes
GoDaddy,GDDY,2025-05-01,cm_revenue_per_customer,225,currency,TTM,text,our ARPU grew 9% to $225 on a trailing 12-month basis,yes
GoDaddy,GDDY,2025-05-01,cm_customers_period_end,20500000,count,Q1 2025,text,our customer count has remained stable at 20.5 million,yes
GoDaddy,GDDY,2025-05-01,cm_customer_retention_rate,0.85,percent,Q1 2025,text,retention above 85% for customers on our GoDaddy platform,yes
GoDaddy,GDDY,2025-05-01,cm_customer_churn_rate,,percent,Q1 2025,text,our customer churn rate our average order size and we continue to see that performing,yes
GoDaddy,GDDY,2025-05-01,cm_expansion_revenue,,percent,Q1 2025,text,more customers purchasing second and third products via Airo,yes
GoDaddy,GDDY,2025-05-01,cm_average_order_value,,currency,Q1 2025,text,we are seeing improvements in order size and improvement in renewal rate,maybe
Microsoft,MSFT,2025-04-30,cm_customers_period_end,21000,count,Q3 FY2025,text,"Microsoft Fabric has more than 21,000 paid customers up 80% year-over-year.",yes
Microsoft,MSFT,2025-04-30,cm_customers_period_end,70000,count,Q3 FY2025,text,"Foundry is now used by developers at over 70,000 enterprises and digital natives",maybe
Microsoft,MSFT,2025-04-30,cm_active_customers_total,15000000,count,Q3 FY2025,text,we now have over 15 million GitHub Copilot users up over 4X year-over-year.,yes
Microsoft,MSFT,2025-04-30,cm_monthly_active_users,50000000,count,Q3 FY2025,text,Visual Studio and VS Code we have the worlds most popular editor with over 50 million monthly active users.,yes
Microsoft,MSFT,2025-04-30,cm_monthly_active_users,56000000,count,Q3 FY2025,text,we have 56 million monthly active Power Platform users up 27% year-over-year,yes
Microsoft,MSFT,2025-04-30,cm_customers_period_end,230000,count,Q3 FY2025,text,"More than 230,000 organizations have already used Copilot Studio.",yes
Microsoft,MSFT,2025-04-30,cm_customers_period_end,1400000,count,Q3 FY2025,text,we now have 1.4 million security customers.,yes
Microsoft,MSFT,2025-04-30,cm_large_customers_period_end,900000,count,Q3 FY2025,text,"Over 900,000 have 4 or more workloads up 21% year-over-year.",yes
Microsoft,MSFT,2025-04-30,cm_monthly_active_users,900000000,count,Q3 FY2025,text,Entra now has more than 900 million monthly active users.,yes
Microsoft,MSFT,2025-04-30,cm_active_customers_total,1000000000,count,Q3 FY2025,text,Over one billion professionals use LinkedIn to connect learn hire and sell,yes
Microsoft,MSFT,2025-04-30,cm_monthly_active_users,500000000,count,Q3 FY2025,text,we bring our games to over 500 million monthly active users across devices.,yes
Microsoft,MSFT,2025-04-30,cm_customers_period_end,430000000,count,Q3 FY2025,text,Paid M365 commercial seats grew 7% year over year to over 430 million.,yes
Microsoft,MSFT,2025-04-30,cm_customers_period_end,87700000,count,Q3 FY2025,text,M365 consumer subscriptions grew 9% to 87.7 million.,yes
Microsoft,MSFT,2025-04-30,cm_revenue_per_customer,,currency,Q3 FY2025,text,ARPU growth was again driven by E5 and M365 Copilot.,yes
Microsoft,MSFT,2025-04-30,cm_expansion_revenue,,count,Q3 FY2025,text,we saw a record number of customers returning to buy more seats for M365 Copilot.,maybe
Microsoft,MSFT,2025-04-30,cm_customers_period_end,,count,Q3 FY2025,text,Hundreds of thousands of customers across geographies and industries now use Copilot up 3X year-over-year.,maybe
Autodesk,ADSK,2025-02-27,cm_net_revenue_retention,,percent,FY2026E,text,net retention rate hovers around the middle of the range of 100% to 110%,yes
Autodesk,ADSK,2025-02-27,cm_new_customers_acquired,400,count,Q4 FY2025,text,construction revenue growth accelerated in the fourth quarter and we added almost 400 net new logos.,yes
Autodesk,ADSK,2025-02-27,cm_customer_retention_rate,,percent,FY2025,text,continuing strong renewal rates and headwinds to new business growth,yes
